Src IP,Dst IP,Total Flow Duration,Total Forward Packets,Avg Flow Duration,Avg Forward Packets,Std Dev Flow Duration,Std Dev Forward Packets
192.168.20.43,3.82.111.231,767329787,98,383664893.50,49.00,274482725.50,35.00
192.168.20.43,52.46.137.106,389451,13,389451.00,13.00,0.00,0.00
192.168.20.43,209.54.177.154,570963,11,570963.00,11.00,0.00,0.00
192.168.20.43,54.92.128.108,97056742,36,97056742.00,36.00,0.00,0.00
192.168.20.43,54.68.57.171,87772232,204,87772232.00,204.00,0.00,0.00
192.168.20.43,209.54.177.157,894909,22,894909.00,22.00,0.00,0.00
192.168.20.43,52.46.136.68,1500268,37,1500268.00,37.00,0.00,0.00
192.168.20.43,52.20.185.33,991179520,126,991179520.00,126.00,0.00,0.00
192.168.20.43,224.0.0.251,12031772995,495,6015886497.50,247.50,5516443452.50,234.50
192.168.20.43,52.46.144.253,466740,12,466740.00,12.00,0.00,0.00
192.168.20.43,52.94.219.88,699299492,405,349649746.00,202.50,63615792.00,83.50
192.168.20.43,34.232.93.236,38372912,101,19186456.00,50.50,14801880.00,25.50
192.168.20.43,18.67.116.69,61703315,17,61703315.00,17.00,0.00,0.00
192.168.20.43,3.226.196.104,79246630,1835,39623315.00,917.50,13164075.00,714.50
192.168.20.43,52.94.232.195,557159,12,557159.00,12.00,0.00,0.00
192.168.20.43,54.161.84.13,80160938,1912,80160938.00,1912.00,0.00,0.00
192.168.20.43,3.89.179.154,1217171057,154,1217171057.00,154.00,0.00,0.00
192.168.20.43,54.239.26.255,377284,12,377284.00,12.00,0.00,0.00
192.168.20.43,176.32.101.46,131001777,32,65500888.50,16.00,3003185.50,1.00
192.168.20.43,44.209.146.104,764033131,98,764033131.00,98.00,0.00,0.00
192.168.20.43,52.205.164.240,926325556,122,463162778.00,61.00,414152230.00,51.00
192.168.20.43,52.205.66.64,22441404,213,22441404.00,213.00,0.00,0.00
192.168.20.43,18.203.57.224,24312900510,4057,24312900510.00,4057.00,0.00,0.00
192.168.20.43,52.200.163.50,1320723690,168,660361845.00,84.00,600200936.00,80.00
192.168.20.43,52.94.220.255,67141918,26,67141918.00,26.00,0.00,0.00
192.168.20.43,52.46.137.209,901828,24,901828.00,24.00,0.00,0.00
192.168.20.43,3.224.249.36,96650707,36,96650707.00,36.00,0.00,0.00
192.168.20.43,52.94.218.244,296777557,39,296777557.00,39.00,0.00,0.00
192.168.20.43,52.201.117.32,193399893,83,193399893.00,83.00,0.00,0.00
192.168.20.43,178.236.7.140,13578759,16,13578759.00,16.00,0.00,0.00
192.168.20.43,35.174.77.103,551128304,70,551128304.00,70.00,0.00,0.00
192.168.20.43,52.1.172.87,20718609,187,20718609.00,187.00,0.00,0.00
192.168.20.43,52.73.50.224,3597669,45,3597669.00,45.00,0.00,0.00
192.168.20.43,54.164.163.115,93993311,60,93993311.00,60.00,0.00,0.00
192.168.20.43,65.8.212.227,1092111,12,1092111.00,12.00,0.00,0.00
192.168.20.43,52.84.177.20,13321872,970,13321872.00,970.00,0.00,0.00
192.168.20.43,44.226.67.213,96003296,216,96003296.00,216.00,0.00,0.00
192.168.20.43,52.207.44.110,881912101,112,440956050.50,56.00,331550428.50,42.00
192.168.20.43,52.45.237.36,155229,2,77614.50,1.00,80.50,0.00
192.168.20.43,34.202.146.90,193391997,84,193391997.00,84.00,0.00,0.00
192.168.20.43,54.242.128.35,25476999,37,25476999.00,37.00,0.00,0.00
192.168.20.43,52.222.149.107,1414554,6,1414554.00,6.00,0.00,0.00
192.168.20.43,52.94.221.55,374625885,241,374625885.00,241.00,0.00,0.00
192.168.20.43,18.164.55.101,248414202,88,248414202.00,88.00,0.00,0.00
192.168.20.43,54.86.198.4,1539715473,196,1539715473.00,196.00,0.00,0.00
