Src IP,Dst IP,Avg Flow Duration,Avg Forward Packets,Std Dev Flow Duration,Std Dev Forward Packets
192.168.20.48,52.119.198.101,1970390.00,35.00,0.00,0.00
192.168.20.48,54.239.27.82,1766162.00,36.00,0.00,0.00
192.168.20.48,18.134.222.161,2307048.00,115.00,0.00,0.00
192.168.20.48,3.28.113.52,1671644.00,19.00,0.00,0.00
192.168.20.48,52.214.227.89,31878847946.00,2331.00,0.00,0.00
192.168.20.48,192.168.20.1,7640389.00,1360.00,0.00,0.00
192.168.20.48,52.46.133.19,2423599.00,41.00,0.00,0.00
192.168.20.48,54.166.21.152,7252243.50,201.00,6419992.50,182.00
192.168.20.48,54.203.166.245,2167899.00,40.00,0.00,0.00
192.168.20.48,239.255.255.250,2613.50,18.00,1131.50,15.00
192.168.20.48,44.207.137.197,1639429.00,39.00,0.00,0.00
