Date,Src IP,Dst IP,Total Flow Duration,Total Forward Packets
05/11/2022,192.168.20.43,54.239.35.48,293774,11
06/11/2022,192.168.20.43,52.36.138.241,84450561,235
06/11/2022,192.168.20.43,52.46.136.68,1500268,37
06/11/2022,192.168.20.40,255.255.255.255,4980037780,165
06/11/2022,52.46.136.110,192.168.20.43,1430,3
06/11/2022,192.168.20.43,52.94.218.244,296777557,39
06/11/2022,192.168.20.43,52.216.27.126,17308851,139
06/11/2022,192.168.20.43,52.94.217.61,488399,14
06/11/2022,157.241.5.46,192.168.20.48,9101,4
06/11/2022,192.168.20.43,52.46.137.106,389451,13
06/11/2022,192.168.20.43,255.255.255.255,14437,72
06/11/2022,192.168.20.43,44.228.215.143,18990734,72
06/11/2022,52.94.233.61,192.168.20.43,17861,3
06/11/2022,18.164.55.110,192.168.20.43,7928,3
